3m      6m      1y       2y      3y      4y      5y      6y      7y      8y      9y     10y     15y     20y      30y        
0.01	0.006	0.01	0.06	0.15	0.321	0.453	0.673	0.896	1.127	1.265	1.504	1.911	2.113	2.539
0.009	0.005	0.01	0.06	0.14	0.331	0.433	0.657	0.885	1.117	1.265	1.505	1.911	2.126	2.539
0.01	0.006	0.01	0.08	0.08	0.301	0.423	0.622	0.823	1.097	1.191	1.429	1.859	2.085	2.437
0.006	0.005	0.01	0.09	0.08	0.281	0.402	0.601	0.803	1.076	1.192	1.408	1.837	2.063	2.416
0.01	0.005	0.01	0.06	0.12	0.291	0.423	0.627	0.834	1.075	1.18	1.441	1.847	2.061	2.385
0.006	0.005	0.01	0.06	0.12	0.281	0.402	0.606	0.813	1.065	1.17	1.419	1.802	2.028	2.352
0.008	0.005	0.011	0.058	0.118	0.264	0.398	0.592	0.788	1.02	1.142	1.379	1.777	1.977	2.24
0.005	0.004	0.004	0.054	0.119	0.277	0.435	0.644	0.856	1.103	1.228	1.473	1.849	2.073	2.33
0.002	0.002	0.009	0.041	0.104	0.249	0.395	0.601	0.81	1.052	1.199	1.437	1.822	2.078	2.385
0.001	0.001	0.007	0.038	0.107	0.243	0.36	0.556	0.754	0.987	1.145	1.389	1.771	2.025	2.339
0.002	0.001	0.007	0.039	0.109	0.244	0.356	0.549	0.744	0.984	1.147	1.417	1.86	2.106	2.436
0.001	0.001	0.004	0.024	0.074	0.2	0.311	0.509	0.709	0.953	1.111	1.361	1.788	2.036	2.392
0.001	0.001	0.005	0.007	0.062	0.184	0.281	0.465	0.65	0.87	1.02	1.271	1.678	1.947	2.227
0.001	0.001	0.005	0.01	0.094	0.222	0.284	0.455	0.627	0.847	0.994	1.221	1.606	1.87	2.107
0.001	0.001	0.009	0.027	0.11	0.22	0.271	0.436	0.602	0.777	0.909	1.125	1.507	1.752	1.968
0.001	0.001	0.012	0.046	0.147	0.266	0.362	0.571	0.781	1.011	1.201	1.421	1.793	2.007	2.257
0.001	0.002	0.008	0.039	0.144	0.266	0.355	0.539	0.724	0.937	1.077	1.321	1.712	1.984	2.205
0.002	0.001	0.013	0.035	0.107	0.214	0.297	0.473	0.65	0.858	1.027	1.237	1.685	1.987	2.228
0.002	0.001	0.009	0.037	0.105	0.204	0.274	0.434	0.596	0.814	0.986	1.188	1.681	1.927	2.343
0.003	0.005	0.008	0.035	0.125	0.226	0.296	0.449	0.603	0.805	0.975	1.175	1.613	1.898	2.279
0.01	0.007	0.008	0.038	0.132	0.225	0.293	0.447	0.603	0.797	0.961	1.146	1.566	1.855	2.174
0.005	0.004	0.008	0.034	0.117	0.206	0.249	0.392	0.536	0.717	0.866	1.043	1.44	1.746	2.055
0.004	0.004	0.01	0.034	0.129	0.226	0.27	0.412	0.555	0.736	0.886	1.069	1.436	1.736	2.035
0.017	0.007	0.011	0.035	0.133	0.247	0.282	0.432	0.584	0.765	0.915	1.099	1.443	1.736	1.934
0.007	0.011	0.014	0.055	0.153	0.269	0.301	0.451	0.602	0.761	0.913	1.099	1.44	1.73	1.908
0.01	0.01	0.009	0.061	0.153	0.256	0.283	0.421	0.559	0.721	0.875	1.068	1.442	1.741	1.939
0.011	0.012	0.01	0.064	0.157	0.269	0.314	0.456	0.6	0.754	0.907	1.092	1.483	1.792	1.998
0.001	0.003	0.01	0.063	0.14	0.252	0.302	0.439	0.578	0.745	0.889	1.066	1.433	1.746	1.925
0.004	0.003	0.014	0.059	0.129	0.247	0.291	0.424	0.558	0.721	0.849	1.009	1.381	1.692	1.904
0.002	0.003	0.016	0.057	0.132	0.245	0.295	0.421	0.547	0.708	0.82	0.979	1.348	1.649	1.861
0.002	0.003	0.02	0.06	0.134	0.245	0.297	0.42	0.545	0.705	0.815	0.969	1.367	1.636	1.847
0.002	0.003	0.016	0.061	0.13	0.242	0.319	0.447	0.576	0.71	0.82	0.923	1.238	1.513	1.703
0.002	0.003	0.016	0.055	0.127	0.227	0.287	0.403	0.52	0.65	0.767	0.898	1.163	1.391	1.53
0.001	0.002	0.016	0.055	0.112	0.204	0.256	0.372	0.49	0.641	0.732	0.885	1.207	1.429	1.547
0.001	0.002	0.012	0.046	0.112	0.203	0.257	0.374	0.492	0.649	0.711	0.889	1.178	1.396	1.541
0.001	0.001	0.011	0.046	0.123	0.218	0.282	0.395	0.509	0.672	0.735	0.923	1.229	1.512	1.636
0.001	0.001	0.011	0.049	0.125	0.233	0.286	0.396	0.507	0.677	0.739	0.907	1.218	1.512	1.634
0.001	0.001	0.008	0.046	0.125	0.221	0.283	0.386	0.491	0.644	0.733	0.895	1.205	1.493	1.633
0.002	0.001	0.009	0.051	0.125	0.209	0.257	0.361	0.464	0.599	0.707	0.844	1.142	1.373	1.525
0.004	0.003	0.007	0.058	0.101	0.177	0.233	0.337	0.441	0.569	0.661	0.789	1.076	1.272	1.442
0.006	0.004	0.01	0.051	0.107	0.165	0.221	0.325	0.43	0.561	0.662	0.8	1.082	1.292	1.447
0.011	0.008	0.002	0.053	0.116	0.188	0.243	0.348	0.453	0.588	0.673	0.799	1.039	1.273	1.4
0.007	0.006	0.01	0.051	0.133	0.207	0.254	0.352	0.451	0.588	0.673	0.796	1.025	1.252	1.381
